order_id,review_score,delay_days,delivery_status
e481f51cbdc54678b7cc49136f2d6af7,4.0,-7.107488425925926,On Time or Early
53cdb2fc8bc7dce0b6741e2150273451,4.0,-5.355729166666666,On Time or Early
47770eb9100c2d0c44946d9cf07ec65d,5.0,-17.245497685185185,On Time or Early
949d5b44dbf5de918fe9c16f97b45f8a,5.0,-12.980069444444444,On Time or Early
ad21c59c0840e6cb83a9ceb5573f8159,5.0,-9.238171296296295,On Time or Early
a4591c265e18cb1dcee52889e2d8acc3,4.0,-5.543113425925926,On Time or Early
6514b8ad8028c9f2cc2374ded245783f,5.0,-11.461215277777777,On Time or Early
76c6e866289321a7c93b82b54852dc33,1.0,-31.41099537037037,On Time or Early
e69bfb5eb88e0ed6a785585b27e16dbf,5.0,-6.2815972222222225,On Time or Early
e6ce16cb79ec1d90b1da9085a6118aeb,1.0,-8.52880787037037,On Time or Early
34513ce0c4fab462a55830c0989c7edb,4.0,-19.413333333333334,On Time or Early
82566a660a982b15fb86e904c8d32918,5.0,-28.495925925925928,On Time or Early
5ff96c15d0b717ac6ad1f3d77225a350,5.0,-8.338599537037037,On Time or Early
432aaf21d85167c2c86ec9448c4e42cc,4.0,-8.01636574074074,On Time or Early
dcb36b511fcac050b97cd5c05de84dc3,5.0,-12.351018518518519,On Time or Early
116f0b09343b49556bbad5f35bee0cdf,5.0,-20.057916666666667,On Time or Early
85ce859fd6dc634de8d2f1e290444043,5.0,-13.230555555555556,On Time or Early
83018ec114eee8641c97e08f7b4e926f,4.0,-14.068055555555556,On Time or Early
203096f03d82e0dffbc41ebc2e2bcfb7,2.0,11.933171296296296,Late
f848643eec1d69395095eb3840d2051e,5.0,-9.244074074074074,On Time or Early
2807d0e504d6d4894d41672727bc139f,3.0,-12.323773148148149,On Time or Early
95266dbfb7e20354baba07964dac78d5,4.0,-25.26900462962963,On Time or Early
f3e7c359154d965827355f39d6b1fdac,5.0,-3.2330208333333332,On Time or Early
fbf9ac61453ac646ce8ad9783d7d0af6,2.0,9.919375,Late
acce194856392f074dbf9dada14d8d82,1.0,-31.36047453703704,On Time or Early
dd78f560c270f1909639c11b925620ea,5.0,-6.387615740740741,On Time or Early
91b2a010e1e45e6ba3d133fa997597be,4.0,-6.1275,On Time or Early
ecab90c9933c58908d3d6add7c6f5ae3,4.0,-16.02136574074074,On Time or Early
f70a0aff17df5a6cdd9a7196128bd354,2.0,-4.3971990740740745,On Time or Early
1790eea0b567cf50911c057cf20f90f9,1.0,-9.480162037037037,On Time or Early
989225ba6d0ebd5873335f7e01de2ae7,4.0,-4.2475,On Time or Early
d887b52c6516beb39e8cd44a5f8b60f7,5.0,-12.994502314814815,On Time or Early
b276e4f8c0fb86bd82fce576f21713e0,5.0,-5.0494212962962965,On Time or Early
8563039e855156e48fccee4d611a3196,5.0,0.041261574074074076,Late
60550084e6b4c0cb89a87df1f3e5ebd9,4.0,-15.000891203703704,On Time or Early
5acce57f8d9dfd55fa48e212a641a69d,5.0,-13.107858796296297,On Time or Early
434d158e96bdd6972ad6e6d73ddcfd22,5.0,-28.102175925925927,On Time or Early
7206b86ea789983f7a273ea7fa0bc2a8,3.0,-6.075486111111111,On Time or Early
1e7aff52cdbb2451ace09d0f848c3699,5.0,-11.417523148148149,On Time or Early
6ea2f835b4556291ffdc53fa0b3b95e8,1.0,7.7912384259259255,Late
948097deef559c742e7ce321e5e58919,5.0,-19.410648148148148,On Time or Early
d22e9fa5731b9e30e8b27afcdc2f8563,4.0,-30.017569444444444,On Time or Early
6ebaec694d7025e2ad4a05dba887c032,1.0,-10.46712962962963,On Time or Early
d17dc4a904426827ca80f2ccb3a6be56,4.0,-17.61491898148148,On Time or Early
25f4376934e13d3508486352e11a5db0,5.0,-3.3595949074074074,On Time or Early
5820a1100976432c7968a52da59e9364,5.0,-10.07695601851852,On Time or Early
2ce1ad82022c1ba30c2079502ac725aa,5.0,-14.280046296296296,On Time or Early
138849fd84dff2fb4ca70a0a34c4aa1c,5.0,-8.429178240740741,On Time or Early
47aa4816b27ba60ec948cd019cc1afc1,5.0,-16.223773148148148,On Time or Early
9faeb9b2746b9d7526aef5acb08e2aa0,1.0,-15.064641203703705,On Time or Early
641fb0752bf5b5940c376b3a8bb9dc52,4.0,-12.36837962962963,On Time or Early
e425680f760cbc130be3e53a9773c584,5.0,-15.12505787037037,On Time or Early
40c5e18f7d112b59b3e5113a59a905b3,5.0,-26.97832175925926,On Time or Early
734e7d1bbaeb2ff82521ca0fe6fb6f79,5.0,-20.102534722222224,On Time or Early
66e4624ae69e7dc89bd50222b59f581f,1.0,1.5616435185185185,Late
a685d016c8a26f71a0bb67821070e398,1.0,7.567546296296296,Late
2edfd6d1f0b4cd0db4bf37b1b224d855,5.0,-16.214259259259258,On Time or Early
68873cf91053cd11e6b49a766db5af1a,4.0,-12.146759259259259,On Time or Early
f346ad4ee8f630e5e4ddaf862a34e6dd,5.0,-4.225231481481481,On Time or Early
8f06cc6465925031568537b815f1198d,5.0,-12.054780092592592,On Time or Early
ccbabeb0b02433bd0fcbac46e70339f2,4.0,-3.067766203703704,On Time or Early
688052146432ef8253587b930b01a06d,4.0,-20.18613425925926,On Time or Early
f271576bed568e896f99eb710cd3a6f8,3.0,-27.148252314814815,On Time or Early
686541986ecfb7d9296eb67719973bf0,4.0,-19.074212962962964,On Time or Early
68e48e68da1f50f7c5838ea75e3a20dd,5.0,-20.111909722222222,On Time or Early
b52cc4919de82b4d696a4380d10804a3,5.0,-7.060601851851852,On Time or Early
fdf128b3630c21adc9ca4fb8a51b68ec,3.0,-8.304652777777777,On Time or Early
a6aeb116d2cb5013eb8a94585b71ffef,5.0,-8.34712962962963,On Time or Early
fa516182d28f96f5f5c651026b0749ee,5.0,-18.13767361111111,On Time or Early
6abaad69b8b349c3a529b4b91ce18e46,4.0,-10.197268518518518,On Time or Early
974c1993ab8024d3ed16229183c2308d,5.0,-11.39724537037037,On Time or Early
82bce245b1c9148f8d19a55b9ff70644,1.0,-1.6125578703703705,On Time or Early
a910f58086d58b3ae6f37aa712d377b9,5.0,-15.15638888888889,On Time or Early
bd4bd0194d6d29f83b8557d4b89b572a,5.0,-1.218912037037037,On Time or Early
634e8f4c0f6744a626f77f39770ac6aa,1.0,-14.237569444444444,On Time or Early
6d25592267349b322799e2beb687871e,4.0,-0.4716087962962963,On Time or Early
b8801cccd8068de30112e4f49903d74a,3.0,-14.39755787037037,On Time or Early
2711a938db643b3f0b62ee2c8a2784aa,5.0,-9.171851851851851,On Time or Early
3bc77ce8be27211bac313c2daa402d1a,5.0,-15.478055555555555,On Time or Early
10c320f977c6a18f91b2d14be13128c6,3.0,-13.442650462962963,On Time or Early
0a4a2fccb27bd83a892fa503987a595b,4.0,-13.452939814814815,On Time or Early
e4de6d53ecff736bc68804b0b6e9f635,2.0,-12.10736111111111,On Time or Early
6b860b35691d486e45dc98e3514ec5f6,5.0,-14.219733796296296,On Time or Early
ec341c54a5ebf8ee0a67a8632aa7579b,5.0,-12.138935185185185,On Time or Early
cadbb3657dac2dbbd5b84b12e7b78aad,4.0,-12.37568287037037,On Time or Early
9defaf92cff22420e4e8ef7784815a55,5.0,-14.326446759259259,On Time or Early
20e0101b20700188cadb288126949685,5.0,-3.1609375,On Time or Early
0e782c3705510e717d28907746cbda82,4.0,-11.414976851851852,On Time or Early
d3d6788577c9592da441752e8a1dd5e3,5.0,-2.219525462962963,On Time or Early
86f21bf63784876b9fd6d35f46581d72,1.0,-23.031458333333333,On Time or Early
8447ff843b2616c50c0ced28ab1dae03,4.0,-12.24025462962963,On Time or Early
f169bd689fb8b32ccd62df9050aebc0b,5.0,-6.251793981481481,On Time or Early
77e9941864fc840be8e4b1ba5347c0f7,5.0,-9.965497685185186,On Time or Early
41bb5cee06dbf170878a9ef93ac7e7f5,5.0,-20.382893518518518,On Time or Early
6a0a8bfbbe700284feb0845d95e0867f,1.0,17.821527777777778,Late
f7959f8385f34c4f645327465a1c9fc4,5.0,-15.875092592592592,On Time or Early
23f553848a03aaab35bb3f9f87725125,5.0,-34.474375,On Time or Early
