purchase_month,total_orders,unique_customers,total_revenue,average_order_value,revenue_growth_percent
2016-09,1,1,0.0,,
2016-10,265,262,46566.71,175.72343396226415,inf
2016-12,1,1,19.62,19.62,-99.95786689675951
2017-01,750,718,127545.67,170.06089333333333,649979.867482161
2017-02,1653,1630,271298.65,164.12501512401695,112.70706406575779
2017-03,2546,2508,414369.39,162.75309897879026,52.73551490211985
2017-04,2303,2274,390952.18,169.7577854971776,-5.651288576118041
2017-05,3546,3479,567066.73,159.91729554427525,45.04759380034662
2017-06,3135,3076,490225.6,156.37180223285486,-13.55063274475652
2017-07,3872,3802,566403.93,146.28200671487605,15.539443472556336
2017-08,4193,4114,646000.61,154.066446458383,14.052988650696662
2017-09,4150,4083,701169.99,168.95662409638555,8.540143638564057
2017-10,4478,4417,751140.27,167.7401228226887,7.126699760781263
2017-11,7289,7183,1153528.05,158.25600905474002,53.5702579226647
2017-12,5513,5450,843199.17,152.94742789769637,-26.902586374037462
2018-01,7069,6974,1078606.86,152.58266515773096,27.91839678874448
2018-02,6555,6400,966510.88,147.44635850495806,-10.392663365779086
2018-03,7003,6914,1120678.0,160.02827359702985,15.950893382596988
2018-04,6798,6744,1132933.95,166.65695057369814,1.0936192197937178
2018-05,6749,6693,1128836.69,167.25984442139574,-0.36165038570872277
2018-06,6099,6061,1012090.68,165.9437088047221,-10.342152326746213
2018-07,6159,6100,1027903.86,166.89460301997076,1.5624271927886957
2018-08,6351,6310,985414.28,155.15891670603054,-4.133614207850133
