customer_state,total_orders,unique_customers,total_revenue,average_order_value,average_delivery_days,revenue_share_percent
SP,40501,39156,5770266.19,142.47570839506173,8.761385996084925,37.41468953565122
RJ,12350,11917,2055690.45,166.45266801619434,15.30943754217274,13.329197897567555
MG,11354,11001,1819277.61,160.2323066760613,12.008665646060452,11.796285425319617
RS,5345,5168,861802.4,161.23524789522918,15.300276192406853,5.587969111885825
PR,4923,4769,781919.55,158.8298903107861,11.991582227413277,5.070004786920603
SC,3546,3449,595208.4,167.85346869712353,14.954782876767771,3.859360515049602
BA,3256,3158,591270.6,181.59416461916462,19.335465824489262,3.8338276263400974
DF,2080,2019,346146.17,166.4164278846154,12.96756810897436,2.2444287764313255
GO,1957,1895,334294.22,170.81973428717424,15.606338535456764,2.1675801502084058
ES,1995,1928,317682.65,159.23942355889724,15.789307110368513,2.0598699140104917
PE,1593,1551,309074.59,194.02045825486505,18.448322994408407,2.00405482995728
CE,1279,1258,266463.97,208.33774042220483,21.26657863492891,1.7277654759263503
PA,946,922,212027.55,224.13060253699788,23.77291691136168,1.3747970535575524
MT,886,856,181441.72,204.78749435665915,18.05575601172561,1.1764770288031647
MA,717,700,147807.29,206.1468479776848,21.572976474120562,0.9583897318359182
PB,517,504,137834.65,266.6047388781431,20.426767609606706,0.8937266440051612
MS,701,681,134421.54,191.75683309557775,15.618319018465684,0.8715958710397244
PI,476,464,105272.17,221.16002100840336,19.45709826291628,0.6825899235151742
RN,474,464,100728.3,212.50696202531645,19.27815620604782,0.6531272471424644
AL,397,387,94195.79,237.26899244332492,24.543855361974067,0.6107701312849484
SE,335,329,70289.13,209.8182985074627,21.519788280818133,0.45575817303517296
TO,274,267,60007.37,219.005,17.65806260982698,0.3890907359337873
RO,243,231,56975.7,234.46790123456788,19.37203651310776,0.3694332386728944
AM,145,140,27596.18,190.3184827586207,26.42599090038314,0.1789349872384219
AC,80,76,19586.25,244.828125,21.035712962962965,0.12699820749823132
AP,67,66,16141.81,240.92253731343283,27.185067716970703,0.10466428927319038
RR,41,40,9039.52,220.47609756097563,29.387546014001806,0.05861269189581528
